Country,State,City,Station_name,Timestamp(UTC),PM2.5,US_AQI,Main pollutant,r1,r2,r3,r4,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-09-27 00:00:00,6.06,25,PM2.5,,1.57,187.1,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-02-15 00:00:00,,4,Ozone,,1.68,,,9.67
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-08-10 00:00:00,7.75,32,PM2.5,,1.22,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-08-11 00:00:00,7.56,31,PM2.5,,1.42,,,4.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-05-31 00:00:00,,2,Ozone,,2.88,,,4.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-03-04 00:00:00,,1,Ozone,,1.81,,,2.0
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-03-24 00:00:00,,1,SO2,,1.16,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-04-19 00:00:00,8.57,35,PM2.5,,,,,61.92
USA,Pennsylvania,Pittsburgh,Lawrenceville,2021-09-13 00:00:00,16.15,59,PM2.5,,1.39,174.0,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-12-01 00:00:00,17.67,63,PM2.5,,,,,25.58
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-02-03 00:00:00,28.1,85,PM2.5,,,,,13.5
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-02-03 00:00:00,5.38,22,PM2.5,,,,,32.25
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-04-07 00:00:00,11.32,47,PM2.5,,,,,19.15
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-06-22 00:00:00,9.79,40,PM2.5,,,,,
USA,Pennsylvania,Pittsburgh,Lawrenceville,2018-11-02 00:00:00,6.38,26,PM2.5,,,,,45.17
USA,Pennsylvania,Pittsburgh,Lawrenceville,2019-04-24 00:00:00,7.7,32,PM2.5,,,,,39.96
USA,Pennsylvania,Pittsburgh,Lawrenceville,2020-04-27 00:00:00,7.49,31,PM2.5,,,,,35.35
USA,Pennsylvania,Pittsburgh,Lawrenceville,2022-04-10 00:00:00,,0,SO2,,0.63,,,
